id,word,language,length
"100","بادکنک","fa","6"
"101","نجیب","fa","4"
"102","نانجیب","fa","6"
"103","تکاندن","fa","6"
"104","کاندید","fa","6"
"105","جابجا","fa","5"
"106","نابینا","fa","6"
"107","بینا","fa","4"
"108","گماردن","fa","6"
"109","راندمان","fa","7"
"110","شیشه","fa","4"
"111","چوب","fa","3"
"112","تخته","fa","4"
"113","مداد","fa","4"
"114","خودکار","fa","6"
"115","بلبل","fa","4"
"116","اژدها","fa","5"
"117","اژدر","fa","4"
"118","کشتی","fa","4"
"119","قایق","fa","4"
"120","گوشت","fa","4"
"121","سبزی","fa","4"
"122","بنفش","fa","4"
"123","بنفشه","fa","5"
"124","صورتی","fa","5"
"125","آبی","fa","3"
"126","قرمز","fa","4"
"127","دامدار","fa","6"
"128","شیطان","fa","5"
"129","شرکت","fa","4"
"130","طولانی","fa","6"
"131","وحشت","fa","4"
"132","انجماد","fa","6"
"133","اشتراک","fa","6"
"134","ابتکار","fa","6"
"135","افتخار","fa","6"
"136","اجتهاد","fa","6"
"137","افتضاح","fa","6"
"138","اختلاس","fa","6"
"139","نامدار","fa","6"
"140","چربی","fa","4"
"141","خشن","fa","3"
"142","وحشی","fa","4"
"143","شریک","fa","4"
"144","مشرک","fa","4"
"145","زمین","fa","4"
"146","آسمان","fa","5"
"147","فریاد","fa","5"
"148","فردا","fa","4"
"149","فرش","fa","3"
"150","شرف","fa","3"
"151","فروش","fa","4"
"152","قورباقه","fa","7"
"153","قمری","fa","4"
"154","قوری","fa","4"
"155","باقی","fa","4"
"156","قلب","fa","3"
"157","زانو","fa","4"
"158","آبرو","fa","4"
"159","صورت","fa","4"
"160","گردن","fa","4"
"161","دراز","fa","4"
"162","کوتاه","fa","5"
"163","بلند","fa","4"
"164","نازک","fa","4"
"165","کلفت","fa","4"
"166","چاق","fa","3"
"167","لاغر","fa","4"
"168","فقیر","fa","4"
"169","غنی","fa","3"
"170","دوغ","fa","3"
"171","بستن","fa","4"
"172","کفتار","fa","5"
"173","گرگ","fa","3"
"174","خرگوش","fa","5"
"175","منبر","fa","4"
"176","مسجد","fa","4"
"177","عرض","fa","3"
"178","باران","fa","5"
"179","بارانی","fa","6"
"180","بادمجان","fa","7"
"181","کدو","fa","3"
"182","کاسه","fa","4"
"183","سایه","fa","4"
"184","سیلی","fa","4"
"185","سینی","fa","4"
"186","صفت","fa","3"
"187","ژیان","fa","4"
"188","پیکان","fa","5"
"189","پروانه","fa","6"
"190","حنجره","fa","5"
"191","پنجره","fa","5"
"192","رضایت","fa","5"
"193","مشتری","fa","5"
"194","دهلیز","fa","5"
"195","زنجیر","fa","5"
"196","دسته","fa","4"
"197","موجود","fa","5"
"198","سایز","fa","4"
"199","اندازه","fa","6"
"200","مقدار","fa","5"
"201","قهوه","fa","4"
"202","وقیح","fa","4"
"203","وقاحت","fa","5"
"204","حماقت","fa","5"
"205","شجاعت","fa","5"
"206","سیگار","fa","5"
"207","گیتار","fa","5"
"208","دقیقه","fa","5"
"209","ثانیه","fa","5"
"210","تغیر","fa","4"
"211","تشکیل","fa","5"
"212","تبعید","fa","5"
"213","تحقیق","fa","5"
"214","تمجید","fa","5"
"215","تصعید","fa","5"
"216","شاهرخ","fa","5"
"217","هاشقم","fa","5"
"218","عزیز","fa","4"
"219","دفتر","fa","4"
"220","کتاب","fa","4"
"221","عکس","fa","3"
"222","فیلم","fa","4"
"223","کماندو","fa","6"
"224","کمان","fa","4"
"225","کماندار","fa","7"
"226","سردار","fa","5"
"227","طلبه","fa","4"
"228","مانا","fa","4"
"229","برادر","fa","5"
"230","داداش","fa","5"
"231","خواهر","fa","5"
"232","سرپرست","fa","6"
"233","نظام","fa","4"
"234","نظامی","fa","5"
"235","خون","fa","3"
"236","خونی","fa","4"
"237","دختر","fa","4"
"238","عادل","fa","4"
"239","عدل","fa","3"
"240","عرش","fa","3"
"241","فردوس","fa","5"
"242","عقاب","fa","4"
"243","شیعه","fa","4"
"244","راضی","fa","4"
"245","شکایت","fa","5"
"246","شاکی","fa","4"
"247","کافی","fa","4"
"248","کفایت","fa","5"
"249","مرگ","fa","3"
"250","دروغ","fa","4"
"251","صحیح","fa","4"
"252","غلط","fa","3"
"253","اشتباه","fa","6"
"254","شباهت","fa","5"
"255","لات","fa","3"
"256","تاب","fa","3"
"257","کلمه","fa","4"
"258","واژه","fa","4"
"259","حیرت","fa","4"
"260","شهوت","fa","4"
"261","ارزش","fa","4"
"262","اجتماع","fa","6"
"263","انقلاب","fa","6"
"264","گنبد","fa","4"
"265","باز","fa","3"
"266","گزند","fa","4"
"267","زنجان","fa","5"
"268","جانباز","fa","6"
"269","جان","fa","3"
"270","زندان","fa","5"
"271","نابجا","fa","5"
"272","ناباب","fa","5"
"273","فرعی","fa","4"
"274","آزادگان","fa","7"
"275","اجداد","fa","5"
"276","نادان","fa","5"
"277","بادبزن","fa","6"
"278","طول","fa","3"
"279","باج","fa","3"
"280","ناب","fa","3"
"281","جنگ","fa","3"
"282","بدن","fa","3"
"283","ناز","fa","3"
"284","دار","fa","3"
"285","رشک","fa","3"
"286","دنج","fa","3"
"287","گنج","fa","3"
"288","زنگ","fa","3"
"289","انگ","fa","3"
"290","گاز","fa","3"
"291","داد","fa","3"
"292","دادن","fa","4"
"293","منکر","fa","4"
"294","انکار","fa","5"
"295","انتشار","fa","6"
"296","منتشر","fa","5"
"297","تکبر","fa","4"
"298","متکبر","fa","5"
"299","توهم","fa","4"
"300","متوهم","fa","5"
"301","راهنما","fa","6"
"302","بناب","fa","4"
"303","جناب","fa","4"
"304","زبان","fa","4"
"305","زبانزد","fa","6"
"306","ادب","fa","3"
"307","باادب","fa","5"
"308","دزد","fa","3"
"309","جنب","fa","3"
"310","تمرکز","fa","5"
"311","مرکز","fa","4"
"312","ماست","fa","4"
"313","کیف","fa","3"
"314","کفش","fa","3"
"315","کارد","fa","4"
"316","ضرب","fa","3"
"317","جمع","fa","3"
"318","تقسیم","fa","5"
"319","تبدیل","fa","5"
"320","نمک","fa","3"
"321","قند","fa","3"
"322","سطل","fa","3"
"323","اشغال","fa","5"
"324","ایران","fa","5"
"325","مرداد","fa","5"
"326","دادیار","fa","6"
"327","دارایی","fa","6"
"328","دارو","fa","4"
"329","دارویی","fa","6"
"330","دریا","fa","4"
"331","دریایی","fa","6"
"332","رویایی","fa","6"
"333","رودررو","fa","6"
"334","رویداد","fa","6"
"335","مامایی","fa","6"
"336","وام","fa","3"
"337","وامدار","fa","6"
"338","یاداور","fa","6"
"339","امید","fa","4"
"340","امیدوار","fa","7"
"341","دریادار","fa","7"
"342","دورادور","fa","7"
"343","مردمدار","fa","7"
"344","رویارویی","fa","8"
"345","داماد","fa","5"
"346","هیولا","fa","5"
"347","فرع","fa","3"
"348","صوت","fa","3"
"349","صوتی","fa","4"
"350","تصویر","fa","5"
"351","تصویری","fa","6"
"352","زیبا","fa","4"
"353","زیبایی","fa","6"
"354","زشت","fa","3"
"355","دور","fa","3"
"356","زود","fa","3"
"357","شاه","fa","3"
"358","کاه","fa","3"
"359","موسیقی","fa","6"
"360","شعر","fa","3"
"361","غیب","fa","3"
"362","حال","fa","3"
"363","پرستش","fa","5"
"364","عرب","fa","3"
"365","عربی","fa","4"
"366","تسلط","fa","4"
"367","مسلط","fa","4"
"368","مکالمه","fa","6"
"369","شخص","fa","3"
"370","نظر","fa","3"
"371","روس","fa","3"
"372","روسیه","fa","5"
"373","روسی","fa","4"
"374","عبارت","fa","5"
"375","کار","fa","3"
"376","تمام","fa","4"
"377","اتمام","fa","5"
"378","شروع","fa","4"
"379","قبر","fa","3"
"380","چای","fa","3"
"381","میز","fa","3"
"382","زیر","fa","3"
"383","اسلام","fa","5"
"384","مسلمان","fa","6"
"385","اسلامی","fa","6"
"386","اسطوره","fa","6"
"387","تجربه","fa","5"
"388","گلدان","fa","5"
"389","قرار","fa","4"
"390","فرار","fa","4"
"391","حرکت","fa","4"
"392","سرعت","fa","4"
"393","شتاب","fa","4"
"394","هوا","fa","3"
"395","سرد","fa","3"
"396","گرم","fa","3"
"397","دبش","fa","3"
"398","واضح","fa","4"
"399","حالت","fa","4"
"400","سندرم","fa","5"
"401","فرد","fa","3"
"402","خیر","fa","3"
"403","سوال","fa","4"
"404","جواب","fa","4"
"405","حرف","fa","3"
"406","اعصاب","fa","5"
"407","مغز","fa","3"
"408","قشنگ","fa","4"
"409","لبخند","fa","5"
"410","جوینده","fa","6"
"411","گوینده","fa","6"
"412","خواننده","fa","7"
"413","راننده","fa","6"
"414","بازنده","fa","6"
"415","سازنده","fa","6"
"416","ساز","fa","3"
"417","بالنده","fa","6"
"418","مشکل","fa","4"
"419","نتیجه","fa","5"
"420","کنش","fa","3"
"421","درک","fa","3"
"422","ادراک","fa","5"
"423","اجبار","fa","5"
"424","مجبور","fa","5"
"425","جبر","fa","3"
"426","منطق","fa","4"
"427","سنگ","fa","3"
"428","وجود","fa","4"
"429","خاک","fa","3"
"430","ادعا","fa","4"
"431","مدعا","fa","4"
"432","همه","fa","3"
"433","لبه","fa","3"
"434","پوز","fa","3"
"435","مزخرف","fa","5"
"436","توجه","fa","4"
"437","مغلوب","fa","5"
"438","قالب","fa","4"
"439","صادق","fa","4"
"440","سابق","fa","4"
"441","سبقت","fa","4"
"442","نفرت","fa","4"
"443","باور","fa","4"
"444","باورمند","fa","7"
"445","پدر","fa","3"
"446","مادر","fa","4"
"447","مومیایی","fa","7"
"448","سنگر","fa","4"
"449","بندر","fa","4"
"450","منقل","fa","4"
"451","شراب","fa","4"
"452","مشروب","fa","5"
"453","سراب","fa","4"
"454","جهاد","fa","4"
"455","جلال","fa","4"
"456","جمال","fa","4"
"457","بالا","fa","4"
"458","راست","fa","4"
"459","ربط","fa","3"
"460","مرتبط","fa","5"
"461","مفهوم","fa","5"
"462","سجده","fa","4"
"463","رکوع","fa","4"
"464","نماز","fa","4"
"465","ذکر","fa","3"
"466","سند","fa","3"
"467","مستند","fa","5"
"468","مارمولک","fa","7"
"469","سوسمار","fa","6"
"470","گزینه","fa","5"
"471","مهر","fa","3"
"472","حرم","fa","3"
"473","دهان","fa","4"
"474","تاریخ","fa","5"
"475","شلنگ","fa","4"
"476","شرت","fa","3"
"477","شلوار","fa","5"
"478","نفس","fa","3"
"479","پری","fa","3"
"480","روح","fa","3"
"481","شبیه","fa","4"
"482","شبح","fa","3"
"483","ترسناک","fa","6"
"484","ترس","fa","3"
"485","ترسو","fa","4"
"486","دیو","fa","3"
"487","کامل","fa","4"
"488","امام","fa","4"
"489","رهبر","fa","4"
"490","کور","fa","3"
"491","قصد","fa","3"
"492","راز","fa","3"
"493","ارز","fa","3"
"494","رز","fa","2"
"495","در","fa","2"
"496","سر","fa","2"
"497","خر","fa","2"
"498","نر","fa","2"
"499","چپ","fa","2"
"500","زر","fa","2"
"501","شر","fa","2"
"502","شاش","fa","3"
"503","مادرزاد","fa","7"
"504","مادرزادی","fa","8"
"505","دادیاری","fa","7"
"506","دام","fa","3"
"507","دامداری","fa","7"
"508","زیرمیزی","fa","7"
"509","اقاقیا","fa","6"
"510","عقیق","fa","4"
"511","مردم","fa","4"
"512","داوود","fa","5"
"513","داوودی","fa","6"
"514","درداور","fa","6"
"515","رو","fa","2"
"516","تست","fa","3"
"517","نوشابه","fa","6"
"518","نگار","fa","4"
"519","شیری","fa","4"
"520","رنگ","fa","3"
"521","رنگین","fa","5"
"522","رنگی","fa","4"
"523","نارنگی","fa","6"
"524","نارنج","fa","5"
"525","نارنجی","fa","6"
"526","انتشارات","fa","8"
"527","ریش","fa","3"
"528","نیترات","fa","6"
"529","گیر","fa","3"
"530","گیرایی","fa","6"
"531","خرس","fa","3"
"532","فرهاد","fa","5"
"533","رایگان","fa","6"
"534","رنج","fa","3"
"535","رنجش","fa","4"
"536","سنجش","fa","4"
"537","پرگار","fa","5"
"538","گونیا","fa","5"
"539","اشاره","fa","5"
"540","ابرو","fa","4"
"541","آشغال","fa","5"
"542","آتش","fa","3"
"543","آتشنشان","fa","7"
"544","آتشی","fa","4"
"545","شلغم","fa","4"
"546","آبگوشت","fa","6"
"547","نعنا","fa","4"
"548","موسیر","fa","5"
"549","ریشه","fa","4"
"550","ستم","fa","3"
"551","تجاوز","fa","5"
"552","اخبار","fa","5"
"553","خبر","fa","3"
"554","موشک","fa","4"
"555","پوشه","fa","4"
"556","گندم","fa","4"
"557","جو","fa","2"
"558","فرشته","fa","5"
"559","احضار","fa","5"
"560","غضب","fa","3"
"561","حضور","fa","4"
"562","ساکت","fa","4"
"563","مسکوت","fa","5"
"564","تسکین","fa","5"
"565","اره","fa","3"
"566","تبر","fa","3"
"567","مسواک","fa","5"
"568","کوسه","fa","4"
"569","شپش","fa","3"
"570","تبلیغ","fa","5"
"571","همسایه","fa","6"
"572","شاهین","fa","5"
"573","خطر","fa","3"
"574","خطرناک","fa","6"
"575","زناشویی","fa","7"
"576","پیمان","fa","5"
"577","عهد","fa","3"
"578","سوگند","fa","5"
"579","چنغال","fa","5"
"580","قاشق","fa","4"
"581","شوهر","fa","4"
"582","پتو","fa","3"
"583","رخت","fa","3"
"584","خواب","fa","4"
"585","عینک","fa","4"
"586","شکست","fa","4"
"587","بشکه","fa","4"
"588","شکمبه","fa","5"
"589","مردن","fa","4"
"590","خرامان","fa","6"
"591","دارآباد","fa","7"
"592","امرداد","fa","6"
"593","خاندان","fa","6"
"594","رادمرد","fa","6"
"595","شاخدار","fa","6"
"596","شادباش","fa","6"
"597","ناآرام","fa","6"
"598","ناآشنا","fa","6"
"599","خنداندن","fa","7"
"600","ماندانا","fa","7"
"601","بخشدار","fa","6"
"602","درخشان","fa","6"
"603","بوس","fa","3"
"604","بوسه","fa","4"
"605","بوسیدن","fa","6"
"606","غوغا","fa","4"
"607","هیاهو","fa","5"
"608","ازدحام","fa","6"
"609","همهمه","fa","5"
"610","آوازه","fa","5"
"611","بانگ","fa","4"
"612","جنجال","fa","5"
"613","خروش","fa","4"
"614","غلغله","fa","5"
"615","گروه","fa","4"
"616","مدیر","fa","4"
"617","مدیریت","fa","6"
"618","اداره","fa","5"
"619","هوس","fa","3"
"620","ساعت","fa","4"
"621","زمان","fa","4"
"622","ذره","fa","3"
"623","اتم","fa","3"
"624","مولکول","fa","6"
"625","سلول","fa","4"
"626","یاخته","fa","5"
"627","ستاره","fa","5"
"628","سیاره","fa","5"
"629","پیام","fa","4"
"630","رساله","fa","5"
"631","رسالت","fa","5"
"632","پیامبر","fa","6"
"633","نبی","fa","3"
"634","رسول","fa","4"
"635","شاخ","fa","3"
"636","آشنا","fa","4"
"637","خانه","fa","4"
"638","مهمان","fa","5"
"639","خانم","fa","4"
"640","ناخن","fa","4"
"641","ماش","fa","3"
"642","ماشه","fa","4"
"643","شخم","fa","3"
"644","خشم","fa","3"
"645","خشمناک","fa","6"
"646","شاهنشاه","fa","7"
"647","مامان","fa","5"
"648","ماهان","fa","5"
"649","شنا","fa","3"
"650","غنا","fa","3"
"651","هما","fa","3"
"652","خشخاش","fa","5"
"653","نشانه","fa","5"
"654","خاخام","fa","5"
"655","خانمان","fa","6"
"656","تناسخ","fa","5"
"657","منظور","fa","5"
"658","جهل","fa","3"
"659","مجهول","fa","5"
"660","جاهل","fa","4"
"661","خان","fa","3"
"662","بخت","fa","3"
"663","اقبال","fa","5"
"664","شاهانه","fa","6"
"665","شاهنامه","fa","7"
"666","وسواس","fa","5"
"667","فرزند","fa","5"
"668","نجات","fa","4"
"669","کفر","fa","3"
"670","کافر","fa","4"
"671","تهدید","fa","5"
"672","تحدید","fa","5"
"673","تکفیر","fa","5"
"674","قانع","fa","4"
"675","محمود","fa","5"
"676","پناه","fa","4"
"677","پناهنده","fa","7"
"678","داور","fa","4"
"679","فرق","fa","3"
"680","تفاوت","fa","5"
"681","تساوی","fa","5"
"682","مساوی","fa","5"
"683","معادل","fa","5"
"684","معادله","fa","6"
"685","مقابله","fa","6"
"686","فقر","fa","3"
"687","کذب","fa","3"
"688","تکذیب","fa","5"
"689","معمول","fa","5"
"690","معمولی","fa","6"
"691","عادی","fa","4"
"692","وسط","fa","3"
"693","متوسط","fa","5"
"694","تقریب","fa","5"
"695","نزدیک","fa","5"
"696","اذان","fa","4"
"697","آواز","fa","4"
"698","شهرت","fa","4"
"699","مقام","fa","4"
"700","عمو","fa","3"
"701","دایی","fa","4"
"702","خاله","fa","4"
"703","شیره","fa","4"
"704","استعداد","fa","7"
"705","استقبال","fa","7"
"706","منجی","fa","4"
"707","ناجی","fa","4"
"708","قوی","fa","3"
"709","حیوان","fa","5"
"710","انسان","fa","5"
"711","شامپانزه","fa","8"
"712","قوریل","fa","5"
"713","کبک","fa","3"
"714","کلاغ","fa","4"
"715","الاغ","fa","4"
"716","پرستو","fa","5"
"717","روز","fa","3"
"718","روزه","fa","4"
"719","رضوان","fa","5"
"720","ماهنامه","fa","7"
"721","مرز","fa","3"
"722","گهر","fa","3"
"723","گلاب","fa","4"
"724","انباشته","fa","7"
"725","انباشتن","fa","7"
"726","مجاز","fa","4"
"727","مجازات","fa","6"
"728","دلیل","fa","4"
"729","سبب","fa","3"
"730","عامل","fa","4"
"731","باعث","fa","4"
"732","نکته","fa","4"
"733","نکات","fa","4"
"734","آتوسا","fa","5"
"735","معبد","fa","4"
"736","عابد","fa","4"
"737","دنیا","fa","4"
"738","آخر","fa","3"
"739","آخرت","fa","4"
"740","تبخیر","fa","5"
"741","بخار","fa","4"
"742","مذاب","fa","4"
"743","عذاب","fa","4"
"744","نیرنگ","fa","5"
"745","یگانه","fa","5"
"746","یکتا","fa","4"
"747","پشتیبان","fa","7"
"748","سرود","fa","4"
"749","نیست","fa","4"
"750","نیستی","fa","5"
"751","هستی","fa","4"
"752","تکثیر","fa","5"
"753","کثرت","fa","4"
"754","ساخته","fa","5"
"755","پرداخته","fa","7"
"756","پرداخت","fa","6"
"757","ساخت","fa","4"
"758","ساختن","fa","5"
"759","شکر","fa","3"
"760","فلفل","fa","4"
"761","ادویه","fa","5"
"762","دوات","fa","4"
"763","الکل","fa","4"
"764","لایه","fa","4"
"765","عمیق","fa","4"
"766","ذهن","fa","3"
"767","تخیل","fa","4"
"768","بزرگ","fa","4"
"769","بزرگی","fa","5"
"770","دیندار","fa","6"
"771","پولدار","fa","6"
"772","دوستدار","fa","7"
"773","خونخوار","fa","7"
"774","کشف","fa","3"
"775","مکاشفه","fa","6"
"776","اکتشاف","fa","6"
"777","آشپزخانه","fa","8"
"778","سوپ","fa","3"
"779","قیمه","fa","4"
"780","قرمه","fa","4"
"781","لواط","fa","4"
"782","حلال","fa","4"
"783","حرام","fa","4"
"784","دوزخ","fa","4"
"785","شکل","fa","3"
"786","بعد","fa","3"
"787","قبل","fa","3"
"788","باد","fa","3"
"789","علامت","fa","5"
"790","علائم","fa","5"
"791","فرفره","fa","5"
"792","فانی","fa","4"
"793","فاحش","fa","4"
"794","نوه","fa","3"
"795","مادربزرگ","fa","8"
"796","پدربزرگ","fa","7"
"797","میان","fa","4"
"798","میانه","fa","5"
"799","بنبست","fa","5"
"800","تازیانه","fa","7"
"801","تازی","fa","4"
"802","نور","fa","3"
"803","پستو","fa","4"
"804","ترانه","fa","5"
"805","شوق","fa","3"
"806","ابلیس","fa","5"
"807","مست","fa","3"
"808","مستی","fa","4"
"809","کوه","fa","3"
"810","سوخت","fa","4"
"811","شاعر","fa","4"
"812","فاعل","fa","4"
"813","مفعول","fa","5"
"814","معلول","fa","5"
"815","جوان","fa","4"
"816","اندیشه","fa","6"
"817","چراغ","fa","4"
"818","مستقر","fa","5"
"819","استقرار","fa","7"
"820","عشق","fa","3"
"821","ظریف","fa","4"
"822","لطیف","fa","4"
"823","عاشق","fa","4"
"824","بمب","fa","3"
"825","پیروز","fa","5"
"826","پیروزی","fa","6"
"827","پچپچ","fa","4"
"828","تیر","fa","3"
"829","تیرک","fa","4"
"830","دروازه","fa","6"
"831","انگیزه","fa","6"
"832","احساس","fa","5"
"833","محسوس","fa","5"
"834","شاهد","fa","4"
"835","شهید","fa","4"
"836","مشهود","fa","5"
"837","شهد","fa","3"
"838","زنبور","fa","5"
"839","تنبان","fa","5"
"840","آفتاب","fa","5"
"841","تاریک","fa","5"
"842","تاریکی","fa","6"
"843","لطیفه","fa","5"
"844","برق","fa","3"
"845","قطعی","fa","4"
"846","برقی","fa","4"
"847","خاکی","fa","4"
"848","خشک","fa","3"
"849","خشکی","fa","4"
"850","ملخ","fa","3"
"851","سلیقه","fa","5"
"852","سال","fa","3"
"853","داغ","fa","3"
"854","سرما","fa","4"
"855","برف","fa","3"
"856","برفی","fa","4"
"857","مواد","fa","4"
"858","ماده","fa","4"
"859","نطق","fa","3"
"860","منطقی","fa","5"
"861","ناطق","fa","4"
"862","کاهو","fa","4"
"863","هویح","fa","4"
"864","ترب","fa","3"
"865","تربچه","fa","5"
"866","عنوان","fa","5"
"867","دود","fa","3"
"868","شناخت","fa","5"
"869","پدیده","fa","5"
"870","دایره","fa","5"
"871","تنبک","fa","4"
"872","مثلث","fa","4"
"873","مربع","fa","4"
"874","مستطیل","fa","6"
"875","مخروط","fa","5"
"876","استوانه","fa","7"
"877","ستون","fa","4"
"878","فاش","fa","3"
"879","انجیل","fa","5"
"880","تورات","fa","5"
"881","قرآن","fa","4"
"882","بلال","fa","4"
"883","ذرت","fa","3"
"884","جبهه","fa","4"
"885","تجهیز","fa","5"
"886","تجهیزات","fa","7"
"887","جنگی","fa","4"
"888","جنگنده","fa","6"
"889","اراده","fa","5"
"890","توان","fa","4"
"891","فصل","fa","3"
"892","تابستان","fa","7"
"893","پاییز","fa","5"
"894","بهار","fa","4"
"895","روزانه","fa","6"
"896","رزومه","fa","5"
"897","مرزی","fa","4"
"898","پادگان","fa","6"
"899","پاداش","fa","5"
"900","جایزه","fa","5"
"901","کباب","fa","4"
"902","کبابی","fa","5"
"903","درخشش","fa","5"
"904","نورانی","fa","6"
"905","تاج","fa","3"
"906","آگاه","fa","4"
"907","آگاهی","fa","5"
"908","هوش","fa","3"
"909","هوشمند","fa","6"
"910","باهوش","fa","5"
"911","محرم","fa","4"
"912","محرمانه","fa","7"
"913","مهربان","fa","6"
"914","خرداد","fa","5"
"915","خدا","fa","3"
"916","ماه","fa","3"
"917","ماهواره","fa","7"
"918","خورشید","fa","6"
"919","آفتابه","fa","6"
"920","پرست","fa","4"
"921","میهن","fa","4"
"922","آیین","fa","4"
"923","هنر","fa","3"
"924","هنرمند","fa","6"
"925","مسدود","fa","5"
"926","رویا","fa","4"
"927","دزدی","fa","4"
"928","روی","fa","3"
"929","قرارداد","fa","7"
"930","رقیق","fa","4"
"931","دریق","fa","4"
"932","واگیر","fa","5"
"933","واگیردار","fa","8"
"934","گرد","fa","3"
"935","گردگیری","fa","7"
"936","گردگیر","fa","6"
"937","داوری","fa","5"
"938","قرقی","fa","4"
"939","درگیر","fa","5"
"940","روزی","fa","4"
"941","گاری","fa","4"
"942","غار","fa","3"
"943","زاری","fa","4"
"944","وادی","fa","4"
"945","شادی","fa","4"
"946","یار","fa","3"
"947","یاری","fa","4"
"948","زور","fa","3"
"949","زوری","fa","4"
"950","گویا","fa","4"
"951","دقیق","fa","4"
"952","یارگیری","fa","7"
"953","یادگیری","fa","7"
"954","یاد","fa","3"
"955","یادگار","fa","6"
"956","یادگاری","fa","7"
"957","راوی","fa","4"
"958","دوری","fa","4"
"959","یاور","fa","4"
"960","زاد","fa","3"
"961","زادروز","fa","6"
"962","گاو","fa","3"
"963","گاوداری","fa","7"
"964","گیرا","fa","4"
"965","ویزا","fa","4"
"966","وزق","fa","3"
"967","اردو","fa","4"
"968","آرزو","fa","4"
"969","ارزی","fa","4"
"970","آوار","fa","4"
"971","ازدیاد","fa","6"
"972","آزردگی","fa","6"
"973","واگرا","fa","5"
"974","واگرایی","fa","7"
"975","زورگیر","fa","6"
"976","زورگیری","fa","7"
"977","وارد","fa","4"
"978","رازقی","fa","5"
"979","دودی","fa","4"
"980","ناخنگیر","fa","7"
"981","ناخدا","fa","5"
"982","آزاد","fa","4"
"983","آزادی","fa","5"
"984","آزاده","fa","5"
"985","دورو","fa","4"
"986","ماهی","fa","4"
"987","نهنگ","fa","4"
"988","اسب","fa","3"
"989","مارماهی","fa","7"
"990","حاجی","fa","4"
"991","صدق","fa","3"
"992","درود","fa","4"
"993","لعن","fa","3"
"994","نفرین","fa","5"
"995","تفریق","fa","5"
"996","تفاضل","fa","5"
"997","جامعه","fa","5"
"998","حاصل","fa","4"
"999","مرد","fa","3"
"1000","مردانه","fa","6"
"1001","مردانگی","fa","7"
"1002","زن","fa","2"
"1003","زنانه","fa","5"
"1004","لخت","fa","3"
"1005","پوشش","fa","4"
"1006","پوشیده","fa","6"
"1007","دلبر","fa","4"
"1008","قیچی","fa","4"
"1009","بیضی","fa","4"
"1010","ذوزنقه","fa","6"
"1011","پازل","fa","4"
"1012","لانه","fa","4"
"1013","لابی","fa","4"
"1014","لازم","fa","4"
"1015","جامد","fa","4"
"1016","مایع","fa","4"
